"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_accaha","URXUCR",0,0,0
"bp_control_accaha","URXUCR",0,0,0.303595963770159
"bp_control_accaha","URXUCR",0.138816271979639,-0.0991852187200942,0
"bp_control_accaha","URXUCR",0,0,0
"bp_control_accaha","HOD050",0,0,0
"bp_control_accaha","HOD050",0,0,0
"bp_control_accaha","HOD050",0,0,0
"bp_control_accaha","HOD050",0.440574598072585,0,0
"bp_control_accaha","HOD050",-0.157275857528995,0,0
"bp_control_accaha","HOD050",0,-0.0706889769978944,-0.197397077733239
"bp_control_accaha","HOD050",0,-0.00709260051889816,0
"bp_control_accaha","HOD050",0,0,0
"bp_control_accaha","HOD050",-0.356115455348554,0,-0.0875900712019736
"bp_control_accaha","HOD050",0,0,0
"bp_control_accaha","demo_age_cat_18to44",-0.00851994493841902,-0.0110502628147903,0
"bp_control_accaha","demo_age_cat_18to44",0.00357713517912092,0,0.0859823341612962
"bp_control_accaha","demo_age_cat_18to44",-2.06414219907088,0,-0.86796634435685
"bp_control_accaha","demo_age_cat_18to44",0.0575378969027545,0.185650466419682,0.263377544392871
"bp_control_accaha","demo_age_cat_18to44",0,-2.44899331819213,-0.904543266532824
"bp_control_accaha","demo_age_cat_18to44",0,0,0
"bp_control_accaha","demo_age_cat_18to44",0,0,0
"bp_control_accaha","demo_age_cat_18to44",0,0.059719958170579,0
"bp_control_accaha","demo_age_cat_18to44",0,0,0
"bp_control_accaha","demo_age_cat_18to44",0,0,0
"bp_control_accaha","demo_age_cat_65to74",-0.0898788143974149,-0.0265194266968889,-0.103160680845583
"bp_control_accaha","demo_age_cat_65to74",0,0,0
"bp_control_accaha","demo_age_cat_65to74",0,0,0
"bp_control_accaha","demo_age_cat_65to74",0.0106462414320376,0,0
"bp_control_accaha","demo_age_cat_65to74",0,0,-0.0326471705998551
"bp_control_accaha","demo_age_cat_65to74",0,0,0
"bp_control_accaha","demo_age_cat_65to74",0,-0.109321989753501,0
"bp_control_accaha","demo_age_cat_65to74",0,0,0
"bp_control_accaha","demo_age_cat_65to74",0,0,0
"bp_control_accaha","demo_age_cat_65to74",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0.044362884678645,0,-0.1261345257774
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,-0.160786984856429,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","demo_race_NonplusHispanicAsian",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",-0.137004548621185,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0.275102483967376,0,0.188905284335032
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0.275828082181961,0.15232781165501
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",-0.362061329343269,-0.423936175913781,-0.299486116461593
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",9.34406338016562,9.00965382708794,10.9557570999528
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,-0.111740592785026,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_accaha","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.222250360033062,0,0
