"","coef","mean","sd"
"bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",0,0.127212421975517,2.08514382297095
"bp_cat_meds_included_SBPof140to160orDBP90to100mmHg",0,0.127212421975517,2.08514382297095
"bp_cat_meds_included_SBP160plusorDBP100plusmmHg",0,0.127212421975517,2.08514382297095
"bp_cat_meds_included_takingantihypertensivemedications",0.807954722212304,0.127212421975517,2.08514382297095
"bp_med_use_No",0,0.127212421975517,2.08514382297095
"bp_med_use_Yes",0,0.127212421975517,2.08514382297095
"bp_med_recommended_jnc7_No",0,0.127212421975517,2.08514382297095
"bp_med_recommended_jnc7_Yes",0,0.127212421975517,2.08514382297095
"bp_med_recommended_accaha_No",7.39954873364397,0.127212421975517,2.08514382297095
"bp_med_recommended_accaha_Yes",-5.3316461869338e-15,0.127212421975517,2.08514382297095
"bp_med_n_class_None",0,0.127212421975517,2.08514382297095
"bp_med_n_class_One",0,0.127212421975517,2.08514382297095
"bp_med_n_class_Two",0,0.127212421975517,2.08514382297095
"bp_med_n_class_Three",0,0.127212421975517,2.08514382297095
"bp_med_n_class_Fourormore",0,0.127212421975517,2.08514382297095
"bp_med_n_pills_None",0,0.127212421975517,2.08514382297095
"bp_med_n_pills_One",0.290614079993924,0.127212421975517,2.08514382297095
"bp_med_n_pills_Two",0,0.127212421975517,2.08514382297095
"bp_med_n_pills_Three",0,0.127212421975517,2.08514382297095
"bp_med_n_pills_Fourormore",0,0.127212421975517,2.08514382297095
"bp_med_combination_No",0,0.127212421975517,2.08514382297095
"bp_med_combination_Yes",0,0.127212421975517,2.08514382297095
"bp_med_pills_gteq_2_No",0,0.127212421975517,2.08514382297095
"bp_med_pills_gteq_2_Yes",0,0.127212421975517,2.08514382297095
"bp_med_ace_No",0.0189006464867774,0.127212421975517,2.08514382297095
"bp_med_ace_Yes",-0.00011137170471764,0.127212421975517,2.08514382297095
"bp_med_aldo_No",-0.360378782290002,0.127212421975517,2.08514382297095
"bp_med_aldo_Yes",0.00399516077108711,0.127212421975517,2.08514382297095
"bp_med_alpha_No",0,0.127212421975517,2.08514382297095
"bp_med_alpha_Yes",0,0.127212421975517,2.08514382297095
"bp_med_angioten_No",-0.15454897379143,0.127212421975517,2.08514382297095
"bp_med_angioten_Yes",3.6050218097986e-15,0.127212421975517,2.08514382297095
"bp_med_beta_No",0,0.127212421975517,2.08514382297095
"bp_med_beta_Yes",0,0.127212421975517,2.08514382297095
"bp_med_central_No",0,0.127212421975517,2.08514382297095
"bp_med_central_Yes",0,0.127212421975517,2.08514382297095
"bp_med_ccb_No",0,0.127212421975517,2.08514382297095
"bp_med_ccb_Yes",0,0.127212421975517,2.08514382297095
"bp_med_ccb_dh_No",-0.063115894007591,0.127212421975517,2.08514382297095
"bp_med_ccb_dh_Yes",0.0224016277858649,0.127212421975517,2.08514382297095
"bp_med_ccb_ndh_No",0,0.127212421975517,2.08514382297095
"bp_med_ccb_ndh_Yes",0,0.127212421975517,2.08514382297095
"bp_med_diur_Ksparing_No",0,0.127212421975517,2.08514382297095
"bp_med_diur_Ksparing_Yes",0,0.127212421975517,2.08514382297095
"bp_med_diur_loop_No",-0.121649218381083,0.127212421975517,2.08514382297095
"bp_med_diur_loop_Yes",1.46624762610627e-15,0.127212421975517,2.08514382297095
"bp_med_diur_thz_No",0,0.127212421975517,2.08514382297095
"bp_med_diur_thz_Yes",0,0.127212421975517,2.08514382297095
"bp_med_renin_inhibitors_No",0,0.127212421975517,2.08514382297095
"bp_med_renin_inhibitors_Yes",0,0.127212421975517,2.08514382297095
"bp_med_vasod_No",0,0.127212421975517,2.08514382297095
"bp_med_vasod_Yes",0,0.127212421975517,2.08514382297095
"htn_aware_No",0,0.127212421975517,2.08514382297095
"htn_aware_Yes",0,0.127212421975517,2.08514382297095
"htn_resistant_jnc7_No",0,0.127212421975517,2.08514382297095
