"","source","Feature","Gain","Cover","Frequency","Importance"
"19","xgb4","DSDANCNT",4.57515418387924e-07,0.0142221019925806,0.0194630872483221,0.0194630872483221
"20","xgb4","BPAEN2_1",4.1943880730054e-07,0.0208815864805304,0.0241610738255034,0.0241610738255034
"21","xgb4","URXUMA",3.27913003781043e-07,0.0134946863275988,0.0228187919463087,0.0228187919463087
"22","xgb4","BPXDI2",2.70945818670388e-07,0.000421518502630851,0.00268456375838926,0.00268456375838926
"23","xgb4","DR1EXMER",1.36740283359336e-07,4.06282894102025e-06,0.00134228187919463,0.00134228187919463
"24","xgb4","BPXDI3",1.17115279458957e-07,0.00614045809073448,0.0100671140939597,0.0100671140939597
"25","xgb4","LBXLYPCT",1.16388122701972e-07,1.06649259701782e-05,0.00335570469798658,0.00335570469798658
"26","xgb4","bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",7.81852172873074e-08,0.000907365130161189,0.00201342281879195,0.00201342281879195
"27","xgb4","cc_cvd_hf_No",5.85261467610587e-08,0.00219291192091568,0.00536912751677852,0.00536912751677852
"28","xgb4","BMXARMC",5.43282427495236e-08,0.000342293338280956,0.00201342281879195,0.00201342281879195
"29","xgb4","BPXPLS",4.87714655187201e-08,9.09057975553281e-05,0.00604026845637584,0.00604026845637584
"30","xgb4","bp_med_aldo_No",2.553886266674e-08,0.000518687828136919,0.00134228187919463,0.00134228187919463
"31","xgb4","LBDHDD",1.6767093151173e-08,0.000793267350734204,0.00201342281879195,0.00201342281879195
"32","xgb4","BPXML1",1.38106399841914e-08,1.69284539209177e-06,0.000671140939597315,0.000671140939597315
"33","xgb4","LBXGH",1.07845801316531e-08,0.000636848436504924,0.00268456375838926,0.00268456375838926
"34","xgb4","OSQ060_1",7.79646306598617e-09,0.000286937293959555,0.000671140939597315,0.000671140939597315
"35","xgb4","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",7.41926923345183e-09,0.00156266558143991,0.00134228187919463,0.00134228187919463
"36","xgb4","BPXDI1",6.37589447070511e-09,0.0020088996267953,0.00335570469798658,0.00335570469798658
"37","xgb4","DIQ010_9",5.25455945878612e-09,0.00462959357829258,0.00335570469798658,0.00335570469798658
"38","xgb4","MCQ220_1",4.84227827052113e-09,0.000261375328538969,0.000671140939597315,0.000671140939597315
"39","xgb4","DIQ010_3",4.33470308594874e-09,0.000261544613078179,0.000671140939597315,0.000671140939597315
"40","xgb4","LBDEONO",2.19016121657824e-09,0.00762965418215761,0.00268456375838926,0.00268456375838926
"41","xgb4","htn_aware_No",1.76990004809485e-09,0.000379874505985393,0.000671140939597315,0.000671140939597315
"42","xgb4","BPQ070_3",1.64583173297497e-09,0.00240045476598613,0.00134228187919463,0.00134228187919463
"43","xgb4","DS1ANCNT",1.07894113375238e-09,3.55497532339272e-06,0.000671140939597315,0.000671140939597315
