"","Year","Feature","Gain_mean","Gain_sd","Cover_mean","Cover_sd","Frequency_mean","Frequency_sd","Count"
"31","pre2013","LBXMOPCT",1.88872512279722e-06,2.50454708205476e-06,0.0103948653147739,0.0134532412493503,0.0108756499594151,0.00780884502494224,3
"32","pre2013","LBXWBCSI",3.93958512895347e-07,6.53988231048197e-07,0.0106496752237583,0.0181847063403201,0.0106211380752912,0.0132663206340688,3
"33","pre2013","LBXRDW",5.86021432826809e-07,8.25813094004911e-07,0.0138520851909214,0.0187718369799958,0.0105065198301375,0.0127972856609944,3
"34","pre2013","DSDCOUNT_x",3.79552752820639e-05,0.00011162827300523,5.0935631072584e-05,9.65886552316411e-05,0.0101052236091274,0.00789870582347755,3
"35","pre2013","BPXSY2",9.45821050287193e-05,0.000132661589434991,0.0068225415095917,0.00734895936260633,0.00949414786563321,0.00574053221955239,3
"36","pre2013","BMXARML",3.10592224451823e-06,8.53976224852678e-06,0.0084027906747788,0.0141628039095054,0.00936707062270956,0.00931131977357829,3
"37","pre2013","BPAEN2_1",7.79943907186385e-07,7.2997489360138e-07,0.0124393490247148,0.0183400795730392,0.00891272011715701,0.0141349650820846,3
"38","pre2013","BPXDI3",3.2171538309601e-07,4.54939246527698e-07,0.00658347618736851,0.00705406047509678,0.00817774853667009,0.00785347762635995,3
"39","pre2013","LBXMC",1.91274706751064e-06,3.18750097644294e-06,0.00251329889247904,0.00430966254859152,0.00724416103924965,0.00576189229099949,3
"40","pre2013","LBXPLTSI",8.41995115583716e-06,2.15910117681794e-05,0.00386237035432482,0.00554144187119533,0.00702097900989545,0.00623027618873677,3
"41","pre2013","BPXDI1",4.34414068959388e-07,9.20975060724602e-07,0.00355974073137445,0.00234735805633918,0.00700632751142794,0.00309427152771765,3
"42","pre2013","BMXARMC",6.40930402847637e-06,1.10801035994007e-05,0.00154454144026515,0.00142810722559104,0.00627986733659523,0.00398936580681103,3
"43","pre2013","LBDTCSI",2.31599285622884e-07,4.17839732910635e-07,0.00683694749508181,0.0105781791082623,0.00627501195333649,0.00468404325094804,3
"44","pre2013","BPXML1",1.40257038234125e-05,3.50150684807778e-05,0.000665517697590293,0.000722633386257695,0.0061892386821608,0.0116301797099997,3
"45","pre2013","WHD130",4.04883075569922e-05,9.86262130458892e-05,0.00385840761120149,0.00507740273478203,0.00592611435417171,0.00564273921439757,2
"46","pre2013","BMXWAIST",2.07473098729975e-05,1.00746333995249e-05,0.000838707061256474,0.00121231228776887,0.00589998749468361,0.00338143836395352,3
"47","pre2013","DS1DSCNT",2.31534664525188e-06,2.48604218929938e-06,6.84593175827514e-05,5.79970779191445e-05,0.00455841293666004,0.0035371710462225,3
"48","pre2013","DS1ANCNT",1.91850002922216e-07,2.66208460081762e-07,3.80712188470871e-05,4.01561765068792e-05,0.00438759572556612,0.00290589886877138,2
"49","pre2013","LBDNENO",6.56074444851189e-08,1.11839787647156e-07,0.00620529116801173,0.0106932069036722,0.00436686953516615,0.00559593092215842,3
"50","pre2013","BPXPLS",1.68098640514162e-05,4.3070262656444e-05,0.00096554968645266,0.00135279190297559,0.00414372528820035,0.0037822960938296,3
"51","pre2013","LBXRBCSI",1.3000021721372e-07,1.30803695535465e-07,0.00203850298938468,0.00214034469864204,0.00401169857129796,0.00185404749965718,3
"52","pre2013","LBDHDD",3.44927869956956e-05,8.81969460941225e-05,0.00175925161376743,0.00241451190758597,0.00382436890685995,0.00316126819252137,3
"53","pre2013","LBXBAPCT",6.10405132446001e-07,1.10460518930337e-06,0.00508955352995233,0.0083426984872887,0.00368303545760074,0.0039413220131375,3
"54","pre2013","OSQ010B_9",1.16014873132129e-08,1.28706989735844e-08,0.00648273388046868,0.00588082478540184,0.00367646367031558,0.00319245826077638,2
"55","pre2013","WHD110",1.39536892453625e-08,1.74517128488767e-08,0.00259229325391223,0.00363387913787061,0.00335766128715769,0.000349652113440924,3
"56","pre2013","LBXHGB",5.63637141959413e-09,1.02517333654374e-08,0.00248265642767576,0.0027659559856778,0.00304253628323311,0.00293861200983442,3
"57","pre2013","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",1.02608366961985e-08,1.20116258822479e-08,0.00358288998000272,0.00400856781523481,0.00297633907065365,0.00202093052101214,3
"58","pre2013","BPQ040A_1",1.01585395886523e-07,1.28649804841982e-07,0.00156035464555325,0.00205347840305194,0.00289043469176714,0.00376823015494193,2
"59","pre2013","bp_cat_meds_included_takingantihypertensivemedications",9.11501771956551e-09,1.02644863015385e-08,0.00223757316497571,0.00315374892020158,0.00284064899692153,0.00299766388866907,3
"60","pre2013","DR1DAY",9.68263058483439e-07,1.52996478642392e-06,6.89406353468864e-06,5.5379040720604e-06,0.00270934172232739,0.00338010036521853,3
"61","pre2013","BPXDI2",5.532377814655e-08,1.00810261400621e-07,0.00156184241061684,0.000904102124500562,0.00262882151567542,0.00105291402351258,3
"62","pre2013","bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",1.26185212805521e-08,2.28651020324822e-08,0.00234201350738601,0.00458080210241755,0.00248974989001491,0.00225139643406013,3
"63","pre2013","OSQ060_1",3.64271513241288e-07,7.50115689653667e-07,0.00092005367761517,0.00095220967608768,0.00234220888582172,0.00167071582920411,2
"64","pre2013","LBXMPSI",1.27774098020233e-08,7.39942626499324e-09,0.000461544976008839,0.000581568932128216,0.00218628161863888,0.00187453914814711,3
"65","pre2013","BPQ090D_1",1.33057668914272e-08,2.20418685972512e-08,0.00198137576553774,0.0034061713616488,0.00216352223144873,0.00153369384243546,3
"66","pre2013","LBXHCT",6.28172416586913e-08,1.03146760601044e-07,4.36419731556515e-05,5.46173364819581e-05,0.00199588892742825,0.00168253352233816,3
"67","pre2013","cc_cvd_hf_No",2.91123817715121e-08,2.39245040250577e-08,0.000500548107622599,0.000353569923310632,0.00190820014947362,0.000500198993817438,3
"68","pre2013","WHD120",7.47720974891103e-06,9.86954315340187e-06,0.000335618098085976,0.000467146429838549,0.00182565025922372,0.00146742786551239,3
"69","pre2013","LBXEOPCT",2.29526334409513e-06,3.9598275258997e-06,0.000218273072008503,0.000353132974101276,0.00174939785870641,0.00105097258833408,3
